local,Mês,Ano,Índice_geral,1_Alimentação_e_bebidas,2_Habitação,3_Artigos_de_residência,4_Vestuário,5_Transportes,6_Saúde_e_cuidados_pessoais,7_Despesas_pessoais,8_Educação,9_Comunicação,FID
São Paulo (SP),jan,2018,0.209999993443489,0.33000001311302196,-0.8899999856948849,0.170000001788139,-1.4700000286102302,1.21000003814697,0.5799999833106989,0.129999995231628,0.189999997615814,0.150000005960464,753
São Paulo (SP),fev,2018,0.5,-0.14000000059604598,-0.639999985694885,0.200000002980232,-1.08000004291534,1.71000003814697,1.0,0.189999997615814,3.70000004768372,0.25,754
São Paulo (SP),mar,2018,0.720000028610229,0.44999998807907104,-0.5299999713897711,0.119999997317791,-1.19000005722046,1.5900000333786002,1.5299999713897698,0.40999999642372104,4.07999992370605,-0.129999995231628,755
São Paulo (SP),abr,2018,0.819999992847443,0.0599999986588955,-0.769999980926514,0.319999992847443,-0.180000007152557,1.71000003814697,2.6500000953674303,0.400000005960464,4.15999984741211,-0.189999997615814,756
São Paulo (SP),mai,2018,1.01999998092651,0.569999992847443,-0.419999986886978,-0.30000001192092896,0.550000011920929,1.41999995708466,3.02999997138977,0.509999990463257,4.19000005722046,-0.209999993443489,757
São Paulo (SP),jun,2018,2.14000010490417,2.6900000572204603,1.42999994754791,-0.34000000357627896,0.10999999940395402,2.8800001144409197,3.39000010490417,0.8500000238418579,4.19999980926514,-0.189999997615814,758
São Paulo (SP),jul,2018,2.77999997138977,3.7899999618530296,4.2199997901916495,0.14000000059604598,-0.9499999880790709,2.75,3.3199999332427996,1.13999998569489,4.05999994277954,-0.0500000007450581,759
São Paulo (SP),ago,2018,2.9000000953674303,3.8099999427795397,4.92999982833862,0.6700000166893011,-0.6000000238418579,1.67999994754791,4.019999980926509,1.64999997615814,4.6100001335144,-0.0199999995529652,760
São Paulo (SP),set,2018,3.52999997138977,3.9800000190734903,5.51999998092651,0.8999999761581421,-0.5,3.50999999046326,4.34000015258789,2.2899999618530296,5.050000190734861,-0.209999993443489,761
São Paulo (SP),out,2018,3.9600000381469704,4.40999984741211,5.42999982833862,2.01999998092651,0.0500000007450581,4.55999994277954,4.519999980926509,2.63000011444092,5.07000017166138,-0.159999996423721,762
São Paulo (SP),nov,2018,3.64000010490417,4.42999982833862,4.57000017166138,2.50999999046326,-0.40999999642372104,3.8099999427795397,4.0,2.9600000381469704,5.07999992370605,-0.33000001311302196,763
São Paulo (SP),dez,2018,3.6800000667572004,4.42999982833862,4.57000017166138,3.3099999427795397,0.40999999642372104,3.29999995231628,4.17999982833862,3.1900000572204603,5.34000015258789,-0.349999994039536,764
São Paulo (SP),jan,2019,0.370000004768372,0.8100000023841859,0.23000000417232502,0.370000004768372,-0.839999973773956,0.38999998569488503,0.25,0.560000002384186,0.170000001788139,-0.0199999995529652,765
